transaction_id,sender_account_id,receiver_account_id,receiver_account_number,receiver_name,amount,transaction_time,transaction_hour,transaction_dayofweek,is_off_hours,is_high_value,is_repeated_amount,anomaly_score,risk_level,is_fraud,status,rule_triggered
TXN000001,ACC0124,ACC0028,1118543408,Siya Bhat,5403.11,2026-02-24T21:12:48,21,1,0,0,0,4.8,Low,0,Normal,None
TXN000002,ACC0101,ACC0075,6231117883,Neel Kakar,15830.81,2025-02-20T16:19:00,16,3,0,0,0,11.16,Low,0,Normal,None
TXN000003,ACC0016,ACC0076,2584392711,Janani Dave,3199.09,2026-04-22T13:30:56,13,2,0,0,0,6.46,Low,0,Normal,None
TXN000004,ACC0095,ACC0072,2503068227,Abdul Jha,978570.44,2025-03-27T14:45:45,14,3,0,1,0,42.08,Medium,1,Flagged,RULE003
TXN000005,ACC0011,ACC0117,4178659381,Daksh Chowdhury,71162.51,2025-10-01T14:04:37,14,2,0,0,0,14.88,Low,0,Normal,None
TXN000006,ACC0094,ACC0073,2062073697,Wyatt Sidhu,46248.76,2025-12-29T19:59:37,19,0,0,0,0,14.68,Low,0,Normal,None
TXN000007,ACC0105,ACC0034,6141226746,Mekhala Thaker,82920.42,2026-03-24T11:20:24,11,1,0,0,0,24.23,Low,0,Normal,None
TXN000008,ACC0020,ACC0008,4821286999,Omisha Srinivas,71459.49,2025-04-06T02:43:22,2,6,1,0,0,35.37,Medium,1,Flagged,RULE002
TXN000009,ACC0088,ACC0033,9597198563,Dhruv Iyer,85191.58,2025-12-10T09:59:20,9,2,0,0,0,19.36,Low,0,Normal,None
TXN000010,ACC0115,ACC0121,8331319481,Damyanti Natarajan,9790.53,2025-09-11T14:47:00,14,3,0,0,0,6.06,Low,0,Normal,None
TXN000011,ACC0076,ACC0037,1546696950,Oni Nori,35364.34,2025-11-03T20:39:48,20,0,0,0,0,10.88,Low,0,Normal,None
TXN000012,ACC0041,ACC0068,6923206003,Ranveer Mohanty,1526.52,2025-06-12T08:04:33,8,3,0,0,0,4.12,Low,0,Normal,None
TXN000013,ACC0038,ACC0008,4821286999,Balhaar Jayaraman,76932.97,2025-02-16T19:36:23,19,6,0,0,0,21.03,Low,0,Normal,None
TXN000014,ACC0072,ACC0037,1546696950,Odika Vaidya,64172.48,2025-10-02T14:33:36,14,3,0,0,0,18.29,Low,0,Normal,None
TXN000015,ACC0037,ACC0021,4482141802,Vihaan Sachdeva,19981.14,2025-11-20T01:36:09,1,3,1,0,0,34.7,Medium,1,Flagged,RULE002
TXN000016,ACC0031,ACC0119,1322401182,Wyatt Lall,88975.52,2026-03-07T13:08:09,13,5,0,0,0,22.79,Low,0,Normal,None
TXN000017,ACC0090,ACC0050,9805620900,Ladli Bansal,27306.86,2025-10-15T17:26:21,17,2,0,0,0,10.19,Low,0,Normal,None
TXN000018,ACC0098,ACC0103,7374584386,Chaaya Rout,47957.4,2025-03-03T10:14:22,10,0,0,0,1,33.27,Medium,1,Flagged,RULE001
TXN000019,ACC0021,ACC0107,9824122054,Dipta Pau,752789.54,2026-02-28T09:25:03,9,5,0,1,0,44.87,Medium,1,Flagged,RULE003
TXN000020,ACC0081,ACC0050,9805620900,Aayush Tiwari,30309.09,2025-04-24T18:28:10,18,3,0,0,0,13.72,Low,0,Normal,None
TXN000021,ACC0114,ACC0113,1651662547,Theodore Sarna,84590.69,2025-12-30T14:23:02,14,1,0,0,0,22.57,Low,0,Normal,None
TXN000022,ACC0124,ACC0099,6715705115,Radhika Mital,11605.67,2025-08-18T15:52:12,15,0,0,0,0,6.05,Low,0,Normal,None
TXN000023,ACC0060,ACC0001,8067372072,Nachiket Babu,67026.73,2025-04-21T11:17:56,11,0,0,0,0,21.6,Low,0,Normal,None
TXN000024,ACC0064,ACC0006,3271782991,Ekaja Korpal,88757.39,2025-07-13T11:21:40,11,6,0,0,0,23.98,Low,0,Normal,None
TXN000025,ACC0112,ACC0010,2472659626,Hritik Palla,70819.27,2026-03-02T14:37:14,14,0,0,0,0,24.06,Low,0,Normal,None
TXN000026,ACC0115,ACC0023,8982597239,Gavin Dada,78079.24,2026-01-16T02:12:20,2,4,1,0,0,33.71,Medium,1,Flagged,RULE002
TXN000027,ACC0060,ACC0044,4464161270,Aadhya Rege,43902.3,2025-09-14T15:56:11,15,6,0,0,0,10.31,Low,0,Normal,None
TXN000028,ACC0051,ACC0003,1429416213,Advay Nayar,63115.13,2025-06-27T21:43:51,21,4,0,0,0,16.27,Low,0,Normal,None
